participant_id	lang_important	lang_important_culture1	lang_important_career	likelihood_initiate_fl_presentation	likelihood_initiate_fl_acquaintance_inpublic	likelihood_initiate_fl_shop	likelihood_initiate_fl_strangers_group	likelihood_initiate_fl_friend_inpublic	likelihood_initiate_fl_stranger_inpublic	likelihood_initiate_fl_acquaintances_group	likelihood_initiate_fl_friends_group	confidence_learn_fl	lang_important_culture2	likelihood_fl_bettercareer	necessity_fl_futureplans	likelihood_fl_meetfriends	nervous_use_fl	study_fl_travel	lang_important_culture3	imagine_self_good_at_fl	desire_learn_fl_international_contact1	desire_learn_fl_forpleasure1	nervous_speak_with_native	desire_learn_fl_international_contact2	desire_learn_fl_travel	imagine_use_fl_international_context	importance_fl_future	importance_fl_international_contact	desire_learn_fl_future	nervous_fl_give_indications	desire_learn_fl_forpleasure2	environment_despise_fl	environment_like_fl	environment_notimportant_fl	personal_notimportant_fl	personal_difficult_fl	personal_nervous_speak_fl	personal_deprecate_knowledge_fl	ideal_l2_self	instrumentality	intl_contact	l2_interest	l2_anxiety	l2_confidence	milieu	usage_willingness
sub-pp001	5	5	5	4	4	4	4	4	4	4	4	5	4	4	4	5	2	5	5	2	5	4	3	4	5	4	5	4	5	3	4	5	5	5	5	3	3	3	80.0	93.33333333333331	90.0	90.0	53.33333333333334	70.0	100	80.0
sub-pp003	5	5	5	4	5	5	4	5	4	5	5	5	3	4	3	5	2	5	5	4	5	5	2	5	5	5	5	5	5	2	5	4	5	4	5	5	5	3	88.0	90.0	100.0	100.0	40.0	90.0	90	92.5
sub-pp004	5	4	5	4	3	4	4	3	3	4	4	4	4	4	4	4	2	4	4	4	5	5	3	5	4	4	4	4	4	3	4	4	4	4	4	4	4	4	80.0	86.66666666666667	90.0	85.0	53.33333333333334	80.0	80	72.5
sub-pp005	5	5	5	5	5	5	5	5	5	5	5	5	3	5	5	4	4	5	4	2	4	4	3	5	5	4	5	2	4	3	2	5	5	5	3	5	2	1	80.0	90.0	75.0	80.0	66.66666666666666	65.0	90	100.0
sub-pp006	5	4	4	1	2	4	1	1	1	3	3	5	2	4	3	2	3	4	2	1	2	3	2	4	4	2	3	2	1	2	1	5	5	5	5	4	3	2	40.0	70.0	50.0	60.0	46.66666666666666	70.0	100	40.0
sub-pp007	4	5	5	3	4	4	4	4	3	4	4	4	3	5	5	5	2	5	4	4	5	5	1	5	4	5	5	5	5	2	5	5	5	4	4	4	4	3	96.0	86.66666666666667	100.0	95.0	33.33333333333333	75.0	90	75.0
sub-pp008	5	5	5	2	3	3	1	5	1	2	4	5	4	5	5	5	2	5	5	4	5	4	2	5	5	4	5	4	4	3	5	5	5	5	5	4	3	3	88.0	96.66666666666669	95.0	95.0	46.66666666666666	75.0	100	52.5
sub-pp009	5	5	4	3	5	5	4	5	2	5	5	4	4	4	3	3	3	5	5	3	5	4	3	5	5	5	4	4	5	3	2	5	5	5	4	2	4	4	80.0	90.0	85.0	80.0	60.0	70.0	95	85.0
sub-pp010	5	2	4	1	3	4	4	4	3	3	4	4	1	4	3	3	2	3	1	2	2	3	2	3	4	2	3	3	2	2	3	4	4	4	5	3	4	4	48.0	56.66666666666666	55.00000000000001	65.0	40.0	75.0	85	65.0
sub-pp011	5	4	5	4	5	5	4	5	4	5	5	3	2	4	4	4	3	5	3	2	5	4	3	5	5	5	5	4	5	2	5	3	2	4	4	3	3	1	84.0	76.66666666666667	90.0	95.0	53.33333333333334	50.0	65	92.5
sub-pp012	4	5	5	4	4	4	4	4	2	4	4	4	4	4	3	4	2	4	4	4	4	4	4	4	4	5	4	3	4	2	4	4	4	2	5	3	2	2	80.0	86.66666666666667	75.0	80.0	53.33333333333334	55.00000000000001	75	75.0
sub-pp013	5	5	5	5	5	5	5	5	5	5	5	5	3	5	5	5	4	4	4	3	4	5	2	4	5	5	5	4	5	4	3	5	5	5	5	4	4	1	92.0	90.0	85.0	85.0	66.66666666666666	70.0	100	100.0
sub-pp018	5	4	5	4	4	5	4	4	2	4	4	5	4	5	5	5	2	5	4	3	5	4	1	5	5	4	5	5	4	4	4	5	5	5	5	4	4	4	84.0	90.0	100.0	90.0	46.66666666666666	85.0	100	77.5
sub-pp019	4	4	5	4	4	2	4	4	2	2	2	4	4	4	3	4	4	4	4	3	4	2	4	4	4	4	4	4	3	3	3	4	4	4	4	3	2	2	68.0	83.33333333333334	80.0	65.0	73.33333333333333	55.00000000000001	80	60.0
sub-pp020	5	5	5	4	5	5	5	5	5	5	5	4	4	3	5	5	1	5	5	4	5	3	1	5	4	5	4	5	3	1	4	5	4	4	5	5	5	5	84.0	90.0	100.0	80.0	20.0	95.0	90	97.5
sub-pp021	5	2	5	4	3	3	4	4	2	4	4	4	1	3	4	4	1	5	1	1	4	4	2	5	4	3	4	4	4	2	4	1	2	1	4	4	4	1	64.0	56.66666666666666	85.0	85.0	33.33333333333333	65.0	40	70.0
sub-pp022	5	4	5	4	4	5	4	5	3	4	5	5	3	4	5	5	4	5	4	4	5	5	4	5	5	5	5	5	5	4	4	5	5	5	5	3	2	3	96.0	83.33333333333334	100.0	95.0	80.0	65.0	100	85.0
sub-pp023	5	5	5	3	1	2	4	1	4	2	3	5	4	3	4	4	4	4	3	1	5	4	4	5	4	5	5	5	4	2	2	4	4	5	4	2	2	2	76.0	83.33333333333334	95.0	70.0	66.66666666666666	55.00000000000001	85	50.0
sub-pp024	5	5	5	4	2	2	4	2	4	3	2	5	4	3	4	4	2	5	4	3	4	4	4	4	4	5	5	4	4	2	4	4	5	5	5	5	4	2	84.0	86.66666666666667	80.0	85.0	53.33333333333334	80.0	95	57.49999999999999
sub-pp025	5	5	5	1	3	4	3	4	1	4	4	3	3	3	1	4	5	5	5	1	5	3	5	5	5	3	3	4	3	3	3	5	5	5	5	1	1	1	44.0	86.66666666666667	90.0	80.0	86.66666666666667	30.0	100	60.0
sub-pp026	5	5	5	4	3	5	4	4	3	3	4	5	5	4	5	5	3	4	3	4	4	5	1	4	5	5	5	5	3	1	4	4	3	4	5	5	5	4	88.0	90.0	90.0	90.0	33.33333333333333	95.0	80	75.0
sub-pp027	5	5	5	4	4	4	3	4	2	2	4	5	5	5	5	5	5	5	4	4	4	4	3	4	4	4	4	4	3	4	5	2	3	2	3	1	1	4	80.0	96.66666666666669	85.0	90.0	80.0	55.00000000000001	50	67.5
sub-pp030	5	5	5	3	2	4	5	2	3	2	1	5	4	4	4	5	1	5	4	3	5	5	1	5	4	5	5	5	4	1	4	5	5	5	5	5	5	5	84.0	90.0	100.0	90.0	20.0	100.0	100	55.00000000000001
sub-pp031	5	4	5	3	4	4	4	5	4	5	5	4	3	3	4	4	2	4	4	4	4	4	2	4	4	4	4	4	4	2	5	5	5	5	5	4	4	3	80.0	80.0	80.0	85.0	40.0	75.0	100	85.0
sub-pp032	4	4	4	1	3	5	2	5	1	2	4	2	4	3	3	5	4	1	2	4	5	4	5	4	1	1	3	5	2	4	1	5	5	5	5	1	1	2	52.0	70.0	95.0	35.0	86.66666666666667	30.0	100	57.49999999999999
sub-pp033	4	5	5	1	1	4	4	4	4	4	4	4	3	1	1	5	3	2	4	5	5	5	2	5	4	4	4	4	5	3	3	5	5	5	5	4	4	4	76.0	73.33333333333333	95.0	70.0	53.33333333333334	80.0	100	65.0
sub-pp035	5	5	5	4	4	5	2	5	2	3	4	5	5	5	5	5	4	5	5	3	5	4	2	5	5	4	5	5	5	1	4	4	5	5	5	5	4	3	88.0	100.0	100.0	90.0	46.66666666666666	85.0	95	72.5
sub-pp036	5	4	5	3	3	5	2	4	2	4	5	5	4	3	3	5	4	5	5	4	5	5	4	5	5	5	5	5	4	4	5	5	5	5	5	4	3	2	84.0	86.66666666666667	100.0	100.0	80.0	70.0	100	70.0
sub-pp038	5	4	5	2	4	5	3	5	2	4	4	4	4	5	4	4	4	5	4	4	3	5	4	3	5	3	5	5	5	2	4	5	5	5	5	2	2	2	84.0	90.0	75.0	95.0	66.66666666666666	50.0	100	72.5
sub-pp039	5	5	5	4	2	4	4	2	4	2	2	5	2	4	5	5	1	5	5	5	5	5	1	5	5	5	5	5	5	2	5	4	4	4	5	5	5	4	100.0	86.66666666666667	100.0	100.0	26.66666666666667	95.0	85	60.0
sub-pp042	5	4	5	4	3	5	5	4	2	3	4	5	3	5	4	5	1	5	3	3	5	5	1	5	5	5	5	5	4	1	5	5	4	4	4	3	5	5	84.0	83.33333333333334	100.0	100.0	20.0	90.0	85	75.0
sub-pp043	5	5	5	1	3	4	2	4	2	3	4	4	3	3	3	5	4	5	4	2	4	4	4	5	4	3	3	5	3	3	3	5	5	5	5	2	2	2	56.00000000000001	83.33333333333334	95.0	80.0	73.33333333333333	50.0	100	57.49999999999999
sub-pp044	5	5	5	1	4	5	4	4	2	4	4	4	1	2	5	5	1	2	5	3	3	3	2	4	4	5	4	5	1	2	1	5	5	5	4	3	5	3	72.0	76.66666666666667	85.0	50.0	33.33333333333333	75.0	95	70.0
sub-pp045	4	4	4	3	4	5	4	5	3	4	4	4	3	3	2	3	2	4	4	3	2	3	4	3	4	4	4	4	3	2	2	5	4	4	5	2	2	3	64.0	73.33333333333333	60.0	65.0	53.33333333333334	55.00000000000001	90	80.0
sub-pp046	5	5	5	2	5	5	5	5	5	5	5	5	4	4	5	5	4	3	4	4	5	5	1	5	4	5	5	5	3	2	5	4	5	5	2	4	4	2	88.0	90.0	100.0	85.0	46.66666666666666	75.0	80	92.5
sub-pp048	5	5	5	1	2	3	2	2	2	2	3	4	5	5	4	5	4	4	5	1	5	4	2	5	3	4	5	5	4	4	3	4	4	4	4	2	2	2	72.0	100.0	100.0	70.0	66.66666666666666	50.0	80	42.5
sub-pp050	4	2	5	1	4	4	4	4	3	4	4	3	1	4	3	4	4	1	1	1	5	4	4	5	5	2	4	5	5	1	5	5	5	5	4	1	1	1	60.0	56.66666666666666	95.0	75.0	60.0	30.0	95	70.0
sub-pp052	5	4	5	1	4	1	1	4	1	2	2	4	4	4	5	5	4	5	4	4	5	4	2	5	4	5	5	5	3	3	4	4	4	4	5	4	4	3	88.0	86.66666666666667	100.0	85.0	60.0	75.0	85	40.0
sub-pp053	5	5	5	2	5	5	5	5	3	3	4	5	4	3	4	5	2	4	4	5	5	4	2	5	4	4	5	5	4	3	5	4	4	4	4	4	4	4	88.0	86.66666666666667	100.0	85.0	46.66666666666666	85.0	80	80.0
sub-pp054	5	4	5	4	2	1	2	1	2	2	1	2	3	2	3	2	3	4	4	1	1	2	2	3	4	3	4	2	4	1	2	4	4	4	5	2	3	2	60.0	76.66666666666667	40.0	60.0	40.0	45.0	85	37.5
sub-pp067	5	5	5	5	4	4	3	4	4	4	4	5	3	2	5	4	1	5	5	4	4	5	1	4	5	5	4	4	3	1	5	4	5	5	4	4	5	4	84.0	83.33333333333334	80.0	100.0	20.0	90.0	90	80.0
sub-pp068	5	5	5	4	5	5	5	5	5	5	5	5	4	5	5	5	1	5	4	3	5	5	1	5	5	5	5	5	4	1	5	5	5	5	4	4	5	4	88.0	93.33333333333331	100.0	100.0	20.0	90.0	95	97.5
sub-pp069	5	5	5	5	4	4	5	4	4	5	5	5	4	4	5	5	1	5	5	4	4	4	2	5	4	5	5	5	5	2	3	4	5	5	5	5	5	5	96.0	93.33333333333331	95.0	80.0	33.33333333333333	100.0	95	90.0
sub-pp072	5	5	5	2	3	4	2	3	3	2	2	2	4	4	5	4	2	2	4	1	5	2	4	5	5	4	4	5	5	3	2	5	5	5	5	1	2	1	76.0	90.0	95.0	55.00000000000001	60.0	30.0	100	52.5
sub-pp073	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	2	3	5	3	5	4	2	5	5	5	5	5	5	2	5	5	5	5	5	3	5	3	92.0	100.0	100.0	85.0	40.0	75.0	100	100.0
sub-pp074	5	4	5	4	5	5	4	5	2	5	5	4	3	3	5	5	3	4	4	3	4	4	4	5	4	4	4	4	2	2	3	4	5	5	5	4	4	3	72.0	80.0	90.0	75.0	60.0	75.0	95	87.5
sub-pp076	5	5	5	3	3	3	4	2	5	3	2	5	1	4	4	3	1	4	4	3	3	4	2	4	4	5	5	3	4	1	5	5	5	5	5	5	5	4	84.0	80.0	65.0	85.0	26.66666666666667	95.0	100	62.5
sub-pp077	5	5	5	1	4	3	3	3	3	3	4	5	5	5	5	5	4	4	4	3	5	5	5	5	5	4	5	5	5	4	4	5	5	5	5	2	1	1	88.0	96.66666666666669	100.0	90.0	86.66666666666667	45.0	100	60.0
sub-pp078	5	5	5	2	5	5	4	4	5	5	5	4	4	2	4	5	3	5	4	3	5	5	2	5	5	5	5	5	5	4	3	5	5	5	5	4	5	2	88.0	83.33333333333334	100.0	90.0	60.0	75.0	100	87.5
sub-pp083	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	5	5	5	5	5	1	5	5	5	5	5	5	1	5	5	5	5	5	5	5	5	100.0	100.0	100.0	100.0	20.0	100.0	100	100.0
sub-pp085	5	5	4	4	5	5	5	5	4	4	5	5	4	2	4	5	2	4	3	4	3	2	1	4	2	4	4	4	4	1	4	5	5	5	5	5	5	5	80.0	76.66666666666667	80.0	60.0	26.66666666666667	100.0	100	92.5
sub-pp088	5	4	4	1	5	4	2	5	1	4	5	5	2	4	5	5	2	4	4	2	4	5	2	5	5	4	4	5	5	4	4	4	2	4	5	2	2	4	80.0	76.66666666666667	95.0	90.0	53.33333333333334	65.0	75	67.5
sub-pp091	4	4	4	2	4	4	4	4	4	4	4	4	3	4	4	4	2	4	4	3	4	4	4	3	3	3	4	4	2	2	3	4	4	5	4	4	4	2	64.0	76.66666666666667	75.0	70.0	53.33333333333334	70.0	85	75.0
sub-pp092	5	5	5	5	5	5	3	5	3	4	5	4	2	1	2	3	2	5	5	5	2	3	1	4	5	5	5	1	1	1	5	5	5	5	5	5	5	5	72.0	76.66666666666667	50.0	90.0	26.66666666666667	95.0	100	87.5
sub-pp093	5	4	5	4	3	4	2	4	2	2	4	3	4	3	5	4	4	2	3	1	4	2	4	5	4	4	5	3	3	2	2	4	5	4	4	1	2	1	72.0	80.0	80.0	50.0	66.66666666666666	35.0	85	62.5
sub-pp094	5	5	5	2	5	5	5	5	4	5	5	5	4	4	5	5	1	4	5	3	5	5	3	5	5	5	5	5	5	3	5	5	5	5	5	5	5	2	92.0	93.33333333333331	100.0	95.0	46.66666666666666	85.0	100	90.0
sub-pp095	5	4	5	4	3	4	3	4	2	4	4	4	3	4	3	5	2	3	3	3	4	4	3	4	4	4	5	3	3	1	3	5	5	5	5	3	5	2	72.0	80.0	80.0	70.0	40.0	70.0	100	70.0
sub-pp099	5	5	5	4	5	4	3	4	4	4	5	4	4	5	5	4	4	3	4	4	4	4	3	4	4	4	4	4	5	2	4	4	5	5	4	4	4	2	88.0	93.33333333333331	80.0	75.0	60.0	70.0	90	82.5
sub-pp105	5	5	5	4	5	5	4	5	5	5	5	5	5	5	5	5	4	5	5	3	5	4	2	5	5	4	5	5	5	1	5	5	5	5	5	4	4	1	88.0	100.0	100.0	95.0	46.66666666666666	70.0	100	95.0
sub-pp106	5	5	5	2	5	5	4	5	5	5	5	5	5	5	5	3	2	4	5	2	5	5	4	5	5	5	5	3	5	1	5	5	5	5	5	2	4	2	88.0	100.0	80.0	95.0	46.66666666666666	65.0	100	90.0
sub-pp107	5	5	5	4	5	5	4	5	4	5	5	4	4	5	5	5	4	4	5	3	4	3	3	4	4	4	5	4	5	1	5	4	1	4	5	4	3	3	88.0	96.66666666666669	85.0	80.0	53.33333333333334	70.0	70	92.5
sub-pp108	5	5	5	2	5	5	3	5	5	5	5	5	3	4	4	5	4	4	4	3	4	4	4	4	4	4	5	4	4	4	4	4	5	5	5	3	2	2	80.0	86.66666666666667	85.0	80.0	80.0	60.0	95	87.5
sub-pp110	5	5	5	5	2	4	5	2	4	4	2	5	2	4	5	5	4	4	4	3	5	4	2	5	5	5	5	5	4	2	5	5	5	5	5	4	4	1	88.0	83.33333333333334	100.0	90.0	53.33333333333334	70.0	100	70.0
sub-pp111	5	4	5	4	2	4	4	1	2	2	1	5	2	5	5	5	1	5	2	3	5	5	2	5	4	4	5	5	5	2	5	4	5	5	5	4	4	2	88.0	76.66666666666667	100.0	95.0	33.33333333333333	75.0	95	50.0
sub-pp112	5	4	4	1	4	2	2	5	2	4	5	4	2	4	2	4	4	5	3	2	5	5	2	5	5	4	4	5	4	2	4	5	5	5	5	4	4	2	64.0	73.33333333333333	95.0	95.0	53.33333333333334	70.0	100	62.5
sub-pp114	5	4	5	4	5	3	4	4	3	4	4	5	3	4	4	3	1	4	4	5	4	3	2	4	5	5	5	4	4	1	5	5	5	5	5	3	4	4	92.0	83.33333333333334	75.0	85.0	26.66666666666667	80.0	100	77.5
sub-pp115	5	4	5	4	3	4	3	2	2	4	4	4	4	4	2	4	2	4	4	4	4	2	4	4	4	4	2	4	3	5	4	1	1	4	2	5	3	4	60.0	86.66666666666667	80.0	70.0	73.33333333333333	80.0	40	65.0
sub-pp116	5	5	5	5	4	5	5	4	4	5	5	5	5	5	5	5	2	5	4	4	5	5	2	5	5	5	5	5	5	2	5	5	5	5	5	5	5	4	96.0	96.66666666666669	100.0	100.0	40.0	95.0	100	92.5
sub-pp117	5	3	5	1	4	4	2	5	1	4	4	4	2	4	5	2	5	2	3	2	5	4	4	5	4	4	5	3	4	4	3	5	1	5	5	3	2	1	80.0	73.33333333333333	75.0	65.0	86.66666666666667	50.0	80	62.5
sub-pp118	5	4	5	5	4	4	4	4	2	4	5	4	4	4	3	4	2	5	4	3	5	4	3	5	5	5	5	5	3	2	4	5	5	5	5	4	5	5	76.0	86.66666666666667	95.0	90.0	46.66666666666666	90.0	100	80.0
sub-pp119	5	4	5	4	4	4	4	4	4	4	4	4	3	4	5	5	4	4	4	2	4	4	4	5	4	4	5	4	5	4	3	3	3	3	4	2	2	1	84.0	83.33333333333334	90.0	75.0	80.0	45.0	65	80.0
sub-pp120	5	5	5	1	4	5	4	4	4	2	2	3	4	5	5	4	5	4	2	4	4	2	4	5	4	2	4	4	5	2	3	5	5	5	5	1	1	1	80.0	86.66666666666667	85.0	65.0	73.33333333333333	30.0	100	65.0
sub-pp124	5	4	5	2	5	5	2	5	2	3	4	4	2	5	4	5	4	2	4	1	1	5	1	1	4	5	5	4	1	3	3	5	1	5	5	4	2	1	64.0	83.33333333333334	55.00000000000001	70.0	53.33333333333334	55.00000000000001	80	70.0
sub-pp125	5	5	5	4	5	4	4	5	5	5	5	4	4	4	4	4	2	4	4	3	4	4	2	4	3	4	4	4	5	4	4	4	4	4	4	3	4	2	80.0	90.0	80.0	75.0	53.33333333333334	65.0	80	92.5
sub-pp126	5	5	5	4	4	5	3	2	4	3	3	5	3	5	5	5	4	4	4	3	5	5	4	5	4	4	5	5	5	2	4	4	5	4	5	4	3	2	88.0	90.0	100.0	85.0	66.66666666666666	70.0	90	70.0
sub-pp127	5	5	5	4	4	5	3	5	3	4	4	5	5	5	5	5	4	4	5	5	5	5	4	5	5	5	5	5	5	3	5	4	5	5	5	4	3	1	100.0	100.0	100.0	95.0	73.33333333333333	65.0	95	80.0
sub-pp128	4	5	5	2	2	4	2	4	2	4	4	4	4	4	4	4	3	4	4	2	5	3	3	5	4	4	5	5	4	2	4	5	2	4	5	2	2	2	76.0	86.66666666666667	95.0	75.0	53.33333333333334	50.0	80	60.0
sub-pp129	5	5	5	4	4	5	5	4	5	4	4	5	5	5	5	5	1	4	5	3	5	5	1	5	3	5	5	5	5	1	4	4	4	4	5	4	5	4	92.0	100.0	100.0	80.0	20.0	90.0	85	87.5
sub-pp133	4	5	5	2	4	4	4	5	4	4	4	3	4	3	4	4	4	4	4	3	4	3	3	4	4	4	4	4	4	2	3	4	3	3	4	2	3	3	76.0	83.33333333333334	80.0	70.0	60.0	55.00000000000001	70	77.5
sub-pp135	5	4	5	2	1	5	3	1	5	3	1	5	1	4	4	4	2	4	3	2	5	4	2	5	5	4	4	4	4	3	5	5	5	5	5	4	3	2	72.0	73.33333333333333	90.0	90.0	46.66666666666666	70.0	100	52.5
sub-pp137	5	5	5	2	5	5	3	5	5	4	5	5	5	5	4	4	1	4	5	2	4	4	3	5	5	5	4	4	4	1	5	4	5	5	5	4	4	1	76.0	100.0	85.0	90.0	33.33333333333333	70.0	95	85.0
sub-pp145	5	4	5	1	4	3	2	4	2	4	4	3	2	5	5	5	2	5	3	1	5	3	4	5	5	5	5	5	5	4	5	4	4	4	5	1	3	4	84.0	80.0	100.0	90.0	66.66666666666666	55.00000000000001	85	60.0
sub-pp147	5	5	4	1	4	4	2	4	4	4	4	4	3	3	3	3	4	4	3	3	5	5	5	5	5	4	4	4	3	3	2	4	4	4	5	3	3	3	68.0	76.66666666666667	85.0	80.0	80.0	65.0	85	67.5
sub-pp149	5	5	5	5	4	4	4	5	2	4	5	3	4	4	5	4	2	4	4	3	4	4	2	4	4	4	5	4	4	3	4	3	3	3	5	3	4	3	84.0	90.0	80.0	80.0	46.66666666666666	65.0	70	82.5
sub-pp150	4	3	5	5	5	5	4	5	3	5	5	4	3	4	3	5	2	3	4	1	3	1	1	4	3	3	3	5	2	2	2	4	5	5	4	4	4	4	48.0	76.66666666666667	85.0	45.0	33.33333333333333	80.0	90	92.5
sub-pp151	5	5	5	4	4	5	5	4	3	4	4	4	3	3	4	5	2	5	4	4	5	4	3	5	4	4	5	5	5	4	4	5	5	5	5	3	2	2	88.0	83.33333333333334	100.0	85.0	60.0	55.00000000000001	100	82.5
sub-pp152	5	5	5	2	4	4	4	4	4	4	5	4	4	5	4	4	3	4	4	2	4	3	3	5	5	2	4	5	4	2	3	4	5	5	5	2	4	2	64.0	93.33333333333331	90.0	75.0	53.33333333333334	60.0	95	77.5
sub-pp155	5	5	5	5	5	5	5	5	5	5	5	5	3	3	2	5	2	5	3	4	5	4	2	5	5	5	4	4	4	2	5	5	1	5	5	5	5	4	76.0	80.0	95.0	95.0	40.0	95.0	80	100.0
sub-pp156	5	4	5	3	4	4	4	3	4	4	4	4	3	3	3	4	3	3	4	2	3	4	2	3	3	4	3	3	2	3	3	4	4	4	3	4	4	3	56.00000000000001	80.0	65.0	65.0	53.33333333333334	75.0	75	75.0
sub-pp158	5	4	5	3	4	4	2	4	4	2	4	5	3	4	4	5	4	4	3	2	4	4	4	3	5	4	5	5	3	4	5	5	5	5	5	3	2	1	72.0	80.0	85.0	90.0	80.0	55.00000000000001	100	67.5
sub-pp159	5	5	5	4	5	5	5	5	3	5	5	1	4	1	2	2	1	5	5	2	3	4	1	5	5	5	4	4	3	2	4	4	4	4	4	3	4	1	64.0	83.33333333333334	70.0	90.0	26.66666666666667	45.0	80	92.5
sub-pp160	5	4	5	4	3	3	4	3	3	3	3	4	3	3	5	4	4	4	n/a	3	5	4	4	5	4	4	5	5	4	2	4	5	5	5	5	2	3	2	84.0	66.66666666666666	95.0	80.0	66.66666666666666	55.00000000000001	100	65.0
sub-pp161	5	4	4	1	3	3	2	4	3	4	5	4	3	2	1	4	4	4	4	1	4	4	3	4	3	3	2	3	3	4	4	4	3	3	4	3	1	2	40.0	73.33333333333333	75.0	75.0	73.33333333333333	50.0	70	62.5
sub-pp162	5	5	5	2	5	5	4	5	5	5	5	5	5	5	5	5	1	5	5	3	5	5	4	5	4	5	5	5	5	1	4	5	5	5	5	4	4	1	92.0	100.0	100.0	90.0	40.0	70.0	100	90.0
sub-pp163	4	5	4	1	2	5	3	1	4	2	2	5	2	4	2	2	5	5	4	2	5	4	5	5	5	4	4	5	3	2	2	5	5	5	5	4	1	1	60.0	76.66666666666667	85.0	80.0	80.0	55.00000000000001	100	50.0
sub-pp164	5	4	5	4	5	5	5	5	5	5	5	4	4	5	5	5	2	3	5	4	5	5	2	5	4	5	5	5	5	2	3	5	5	5	5	2	5	3	96.0	93.33333333333331	100.0	75.0	40.0	70.0	100	97.5
sub-pp166	5	4	3	1	4	4	4	5	4	4	4	5	2	2	2	1	4	5	4	3	5	5	4	4	5	3	2	2	2	1	4	5	5	5	5	4	4	1	48.0	66.66666666666666	60.0	95.0	60.0	70.0	100	75.0
sub-pp168	5	4	5	1	1	1	1	1	1	1	1	2	4	4	3	2	5	2	4	1	5	3	5	5	5	2	5	4	5	5	3	5	5	5	5	1	1	1	64.0	86.66666666666667	80.0	65.0	100.0	25.0	100	20.0
sub-pp169	5	5	5	4	5	4	4	5	4	5	5	4	5	5	5	5	4	5	5	3	5	4	2	4	4	5	5	5	5	4	5	4	4	4	4	3	2	1	92.0	100.0	95.0	90.0	66.66666666666666	50.0	80	90.0
sub-pp170	5	4	5	5	4	4	5	4	3	4	4	4	4	4	5	4	4	5	4	3	4	3	3	4	5	4	5	5	4	3	3	5	5	5	5	3	3	2	84.0	86.66666666666667	85.0	80.0	66.66666666666666	60.0	100	82.5
sub-pp171	4	4	4	4	2	3	4	3	3	2	4	4	3	4	4	4	1	4	4	1	4	3	2	4	3	4	4	4	2	3	4	4	4	4	4	4	4	3	60.0	76.66666666666667	80.0	70.0	40.0	75.0	80	62.5
