participant_id	time_listen_week	time_listen_day	years_practice	years_practice_peak	last_time_played	mus_edu_level	other_mus_edu	mus_exam	mus_engagement_inspiration	mus_engagement_difficultpieces	mus_engagement_connection	mus_engagement_physicalexercise	mus_engagement_relaxation	mus_engagement_gratification	mus_engagement_newmusic	mus_engagement_group_practice	mus_engagement_reflection	mus_engagement_selfimage	mus_engagement_group_identification	mus_engagement_emotion_expression	mus_engagement_music_when_depressed	mus_engagement_good_in_group	mus_engagement_social_connection	mus_engagement_physicalexercise_long	mus_engagement_relief	mus_engagement_improvisation	mus_engagement_dance	mus_engagement_recognition	mus_engagement_practice	mus_engagement_help_difficulties	mus_engagement_theory	mus_engagement_physical_endurance	cognitive_and_emotional_regulation	dance	engaged_production	ind_mus_train_imt	ind_mus_listening_iml	mus_instr_play_imip	physical_exercise	social_connection
sub-pp001	4	1	0.0	0.0	1	2	0	0	5	1	5	4	5	1	4	5	4	1	4	5	5	1	2	5	5	1	5	1	1	4	1	5	32	10	13	2	4	0.0	14	11
sub-pp003	5	2	15.0	1.0	8	2	2	0	6	4	4	5	6	6	5	4	2	4	4	1	6	1	4	4	6	1	1	1	5	6	3	4	37	2	29	4	10	1.875	13	12
sub-pp004	5	3	0.0	0.0	1	2	0	0	5	3	5	5	5	1	2	2	4	2	2	5	5	5	3	5	5	3	4	2	2	3	2	2	29	9	22	2	15	0.0	12	10
sub-pp005	5	4	2.0	6.0	32	2	1	0	5	1	6	6	6	6	5	6	5	1	6	5	6	1	5	6	6	1	1	1	1	1	1	1	34	6	19	3	20	0.375	13	17
sub-pp006	5	5	8.0	1.0	32	2	2	0	4	1	4	6	5	1	5	1	5	1	2	1	6	1	2	6	5	1	1	1	1	3	1	1	33	2	9	4	25	0.25	13	8
sub-pp007	4	2	0.5	1.0	8	2	2	0	4	3	5	5	4	6	3	5	5	5	4	3	4	1	3	4	5	1	3	1	4	4	4	2	29	6	30	4	8	0.0625	11	12
sub-pp008	5	2	0.0	0.0	1	0	0	0	5	1	6	6	6	1	6	1	6	1	6	3	6	1	5	6	6	1	2	1	1	6	1	5	41	5	9	0	10	0.0	17	17
sub-pp009	5	3	0.0	0.0	1	1	0	0	5	1	2	6	6	1	5	4	5	1	2	2	6	1	3	6	6	1	3	1	1	6	1	6	39	5	12	1	15	0.0	18	7
sub-pp010	5	2	6.0	2.0	8	0	1	0	5	3	2	2	4	5	3	4	4	2	2	1	3	2	2	1	3	2	1	1	5	2	1	1	24	2	25	1	10	1.5	4	6
sub-pp011	5	3	10.0	2.0	16	2	3	1	2	2	2	5	6	5	1	1	4	1	2	3	6	1	2	4	6	1	1	1	1	6	1	1	31	4	14	6	15	1.25	10	6
sub-pp012	1	1	0.0	0.0	1	0	0	0	5	1	5	5	1	1	1	1	2	1	3	2	6	1	3	6	6	1	1	1	1	5	1	5	26	3	9	0	1	0.0	16	11
sub-pp013	5	3	0.0	0.0	1	0	0	0	5	1	6	6	5	1	5	1	6	1	6	2	6	1	6	6	5	1	2	1	1	5	1	4	37	4	9	0	15	0.0	16	18
sub-pp018	5	3	0.0	0.0	1	0	0	0	6	1	5	6	5	1	5	1	6	1	6	2	6	1	4	6	6	1	2	1	1	1	1	6	35	4	9	0	15	0.0	18	15
sub-pp019	5	5	0.0	0.0	1	0	0	0	5	1	4	5	5	1	4	1	4	1	5	1	5	1	4	5	5	1	1	1	1	4	1	4	32	2	9	0	25	0.0	14	13
sub-pp020	4	1	0.0	0.0	1	0	0	0	2	1	5	4	2	1	2	2	5	1	5	1	4	1	5	3	5	1	1	1	1	1	1	3	21	2	10	0	4	0.0	10	15
sub-pp021	3	1	0.0	0.0	1	2	0	0	2	1	4	6	4	1	5	5	5	1	3	3	4	1	4	6	5	1	3	1	1	3	1	5	28	6	13	2	3	0.0	17	11
sub-pp022	4	2	3.0	1.0	32	2	2	0	5	1	4	5	5	1	1	1	5	1	3	5	5	1	2	4	5	1	5	1	1	5	1	4	31	10	9	4	8	0.09375	13	9
sub-pp023	5	3	3.0	1.0	16	0	2	1	6	1	2	5	6	1	2	2	6	1	2	1	6	1	2	5	6	1	1	1	1	5	1	5	37	2	10	3	15	0.1875	15	6
sub-pp024	4	2	6.0	2.0	8	2	2	0	6	1	4	6	6	5	5	1	5	1	4	5	6	1	1	5	6	1	1	1	5	4	1	4	38	6	17	4	8	1.5	15	9
sub-pp025	5	1	0.0	0.0	1	2	0	0	5	1	3	5	5	1	4	1	5	1	4	5	5	1	4	5	5	1	4	1	1	1	1	1	30	9	9	2	5	0.0	11	11
sub-pp026	4	3	0.0	0.0	1	0	0	0	5	1	4	5	5	1	3	1	5	1	5	6	5	1	4	5	5	1	6	5	1	5	1	5	33	12	13	0	12	0.0	15	13
sub-pp027	5	3	0.0	0.0	1	0	0	0	5	4	5	3	2	3	3	4	4	2	3	3	4	4	4	4	3	2	3	4	4	5	5	6	26	6	32	0	15	0.0	13	12
sub-pp030	5	3	2.0	2.0	32	1	0	0	6	1	5	4	5	1	5	6	6	1	6	4	6	1	4	6	6	1	5	1	1	5	1	6	39	9	14	1	15	0.125	16	15
sub-pp031	5	2	4.0	1.0	8	2	2	0	5	3	4	6	5	4	3	4	2	5	3	5	5	3	3	6	6	5	5	5	5	6	3	6	32	10	37	4	10	0.5	18	10
sub-pp032	5	4	0.0	0.0	1	1	0	0	5	1	4	6	6	1	3	1	5	1	1	5	6	1	1	6	5	1	4	1	1	5	1	5	35	9	9	1	20	0.0	17	6
sub-pp033	5	2	8.0	1.0	16	2	2	1	5	1	4	5	5	5	1	1	5	1	4	1	5	1	4	5	5	1	1	1	1	5	1	4	31	2	13	5	10	0.5	14	12
sub-pp035	5	5	12.0	4.0	1	3	3	1	6	5	6	6	6	6	5	5	5	6	4	5	6	1	2	6	6	1	5	6	6	4	3	1	38	10	39	7	25	48.0	13	12
sub-pp036	5	3	2.0	1.0	32	1	2	1	6	1	6	6	6	2	4	6	5	2	6	6	6	1	4	6	6	1	6	3	3	5	2	5	38	12	21	4	15	0.0625	17	16
sub-pp038	3	2	4.0	2.0	4	1	2	0	5	3	4	6	5	5	4	5	5	5	4	1	6	1	3	5	6	1	1	5	6	6	3	5	37	2	34	3	6	2.0	16	11
sub-pp039	3	1	0.0	0.0	1	2	0	0	5	1	5	6	4	1	4	4	5	1	4	1	5	1	4	3	5	1	1	1	1	5	1	4	33	2	12	2	3	0.0	13	13
sub-pp042	5	4	2.0	1.0	32	1	0	0	6	1	6	6	6	1	1	1	1	1	6	6	6	1	6	6	6	1	4	3	1	2	1	6	28	10	11	1	20	0.0625	18	18
sub-pp043	5	2	6.0	1.0	16	1	3	1	5	2	4	5	4	5	4	3	3	3	3	2	6	3	2	5	6	1	2	2	4	4	4	4	32	4	27	5	10	0.375	14	9
sub-pp044	5	5	0.0	0.0	1	0	0	0	3	1	5	5	6	1	4	1	2	1	4	6	5	1	5	5	6	1	4	1	1	2	1	2	28	10	9	0	25	0.0	12	14
sub-pp045	5	2	2.0	1.0	32	1	0	0	5	1	5	5	5	1	3	1	5	1	4	4	5	5	4	5	5	1	1	1	1	1	1	5	29	5	13	1	10	0.0625	15	13
sub-pp046	5	3	6.0	4.0	16	2	2	0	6	1	5	6	6	1	5	1	6	1	4	1	6	1	3	6	6	1	1	1	1	6	1	5	41	2	9	4	15	1.5	17	12
sub-pp048	3	1	0.0	0.0	1	0	0	0	5	1	4	2	5	1	4	4	5	1	5	1	3	1	3	5	5	1	1	1	1	3	1	4	30	2	12	0	3	0.0	11	12
sub-pp050	5	3	2.0	1.0	8	0	0	0	6	4	4	6	6	4	4	4	6	4	4	4	3	1	4	6	6	1	1	5	4	4	1	6	35	5	28	0	15	0.25	18	12
sub-pp052	4	3	5.0	2.0	32	2	0	1	5	1	4	6	5	4	3	1	2	1	2	1	6	1	4	5	5	1	1	1	1	5	1	4	31	2	12	3	12	0.3125	15	10
sub-pp053	5	4	0.0	0.0	1	0	0	0	4	1	5	5	6	6	3	4	2	1	5	5	5	1	5	5	5	1	6	5	1	1	1	1	26	11	21	0	20	0.0	11	15
sub-pp054	5	3	0.0	0.0	1	0	0	0	5	1	5	5	5	1	4	2	3	1	5	3	5	1	5	5	5	1	1	1	1	4	1	4	31	4	10	0	15	0.0	14	15
sub-pp067	3	2	11.0	1.0	8	2	2	1	5	5	5	5	5	5	5	5	5	6	5	2	5	5	5	6	6	5	2	5	6	4	3	5	35	4	45	5	6	1.375	16	15
sub-pp068	5	2	2.0	1.0	32	1	2	0	5	1	5	5	6	1	4	5	5	1	5	5	5	1	5	5	5	1	4	1	1	5	1	5	35	9	13	3	10	0.0625	15	15
sub-pp069	5	5	13.0	5.0	8	1	2	1	6	5	6	6	6	6	6	6	6	4	5	6	6	4	4	6	6	5	6	4	6	6	5	6	42	12	45	4	25	8.125	18	15
sub-pp072	4	2	0.0	0.0	1	0	0	0	3	1	4	5	3	1	3	3	3	1	3	2	2	1	3	5	4	1	1	1	1	1	1	3	19	3	11	0	8	0.0	13	10
sub-pp073	5	3	0.0	0.0	1	2	0	0	6	1	5	4	5	1	5	5	6	1	5	6	6	1	5	4	6	1	6	1	1	6	1	5	40	12	13	2	15	0.0	13	15
sub-pp074	5	2	0.0	0.0	1	0	0	0	4	1	3	5	6	1	2	2	4	1	4	1	6	1	4	6	6	1	1	1	1	4	1	5	32	2	10	0	10	0.0	16	11
sub-pp076	5	5	0.0	0.0	1	1	0	0	5	1	5	6	4	1	5	1	6	1	5	1	6	1	6	6	5	1	1	1	1	6	1	2	37	2	9	1	25	0.0	14	16
sub-pp077	5	5	1.0	3.0	8	0	2	0	6	2	6	6	6	3	6	6	6	6	6	2	6	4	6	6	6	2	3	3	5	6	3	3	42	5	34	2	25	0.375	15	18
sub-pp078	5	2	5.0	2.0	8	1	2	0	5	4	5	5	5	6	6	4	6	5	5	3	4	3	5	5	5	5	2	5	5	2	5	2	33	5	42	3	10	1.25	12	15
sub-pp083	3	1	1.0	2.0	32	0	2	0	3	2	3	6	4	4	2	2	4	3	3	4	2	2	3	6	5	4	6	4	5	3	4	6	23	10	30	2	3	0.0625	18	9
sub-pp085	5	3	3.0	0.0	16	1	0	0	4	1	2	6	6	1	5	1	6	1	2	6	6	1	1	6	6	1	5	1	1	4	1	4	37	11	9	1	15	0.0	16	5
sub-pp088	5	3	0.0	0.0	1	1	0	0	1	1	5	5	4	1	1	1	5	1	3	1	5	1	5	4	5	1	1	1	1	1	1	4	22	2	9	1	15	0.0	13	13
sub-pp091	5	4	0.0	0.0	1	0	0	0	6	1	6	6	6	1	6	1	6	1	6	1	6	1	6	6	6	1	1	1	1	6	1	6	42	2	9	0	20	0.0	18	18
sub-pp092	4	2	4.0	4.0	8	1	1	0	5	1	2	6	6	5	2	2	6	4	5	5	1	1	1	5	6	4	5	5	5	1	3	5	27	10	30	2	8	2.0	16	8
sub-pp093	5	3	2.0	0.5	32	0	2	0	3	1	3	5	4	1	3	3	5	1	3	2	5	1	3	3	5	1	3	1	1	6	1	3	31	5	11	2	15	0.03125	11	9
sub-pp094	2	2	0.0	0.0	1	2	0	0	1	1	4	5	5	1	4	1	5	1	1	5	4	1	1	5	5	1	6	1	1	1	1	5	25	11	9	2	4	0.0	15	6
sub-pp095	5	3	0.0	0.0	1	0	0	0	5	1	4	5	6	1	2	1	5	1	4	4	4	1	4	5	5	1	4	1	1	2	1	2	29	8	9	0	15	0.0	12	12
sub-pp099	4	2	0.0	0.0	1	0	0	0	4	1	5	6	5	1	1	1	5	1	5	2	6	1	6	6	6	1	1	1	1	5	1	5	32	3	9	0	8	0.0	17	16
sub-pp105	5	1	0.0	0.0	1	2	0	0	5	1	4	5	5	1	2	1	5	1	4	1	5	1	2	6	6	1	1	1	1	5	1	4	33	2	9	2	5	0.0	15	10
sub-pp106	4	2	0.0	0.0	1	0	0	0	4	1	4	5	5	1	4	3	4	1	4	1	5	1	4	5	5	1	1	1	1	1	1	1	28	2	11	0	8	0.0	11	12
sub-pp107	5	2	0.0	0.0	1	1	0	0	6	1	5	5	5	3	4	4	4	2	6	4	4	2	5	5	5	2	4	6	4	5	5	5	33	8	29	1	10	0.0	15	16
sub-pp108	5	1	0.0	0.0	1	2	0	0	4	1	4	5	5	1	4	4	5	1	4	5	5	1	4	4	5	1	6	6	1	5	1	1	33	11	17	2	5	0.0	10	12
sub-pp110	5	4	2.0	3.0	8	0	2	0	4	1	4	1	3	1	1	1	3	1	6	2	6	1	6	1	4	1	1	1	1	1	1	1	22	3	9	2	20	0.75	3	16
sub-pp111	5	3	0.0	0.0	1	2	0	0	6	1	6	4	6	1	2	5	6	1	5	1	4	1	4	2	6	1	1	1	1	5	1	2	35	2	13	2	15	0.0	8	15
sub-pp112	5	3	8.0	4.0	8	2	2	1	5	5	4	5	5	5	6	4	5	4	3	1	6	1	3	5	6	1	1	4	5	3	3	3	36	2	32	5	15	4.0	13	10
sub-pp114	4	2	0.0	0.0	1	0	0	0	4	1	5	5	3	1	5	1	6	1	5	1	4	1	4	5	5	1	1	1	1	4	1	4	31	2	9	0	8	0.0	14	14
sub-pp115	3	1	0.0	0.0	1	0	0	0	4	4	5	5	5	2	2	2	5	2	2	4	5	2	2	5	5	2	3	3	2	5	2	3	31	7	21	0	3	0.0	13	9
sub-pp116	5	3	0.0	0.0	1	0	0	0	5	1	5	5	5	1	5	5	5	1	4	1	5	1	4	4	5	1	1	1	1	1	1	1	31	2	13	0	15	0.0	10	13
sub-pp117	5	2	1.0	1.0	8	2	2	1	4	3	5	4	5	6	3	3	6	5	3	2	6	4	5	4	6	2	3	4	6	6	5	4	36	5	38	5	10	0.125	12	13
sub-pp118	5	3	8.0	1.0	8	2	2	1	6	5	5	6	6	5	5	5	6	5	5	4	4	4	4	6	6	4	5	5	5	6	5	6	39	9	43	5	15	1.0	18	14
sub-pp119	5	2	1.0	1.0	32	1	1	0	4	1	4	5	4	1	3	3	5	1	3	1	5	1	3	5	5	1	1	1	1	1	1	5	27	2	11	2	10	0.03125	15	10
sub-pp120	5	2	0.0	0.0	1	1	1	0	5	1	5	6	6	4	5	2	6	1	3	2	6	1	2	5	6	1	4	1	1	4	1	5	38	6	13	2	10	0.0	16	10
sub-pp124	4	2	0.0	0.0	1	0	0	0	4	1	4	6	5	1	5	2	4	1	4	1	5	1	4	6	5	1	1	1	1	1	1	4	29	2	10	0	8	0.0	16	12
sub-pp125	5	2	12.0	2.0	4	1	2	1	5	5	5	5	5	5	2	2	2	5	2	1	4	2	2	2	3	4	1	6	5	4	2	4	25	2	36	4	10	6.0	11	9
sub-pp126	5	3	1.0	2.0	16	0	2	0	6	1	5	6	6	1	1	1	5	1	5	1	6	1	5	5	6	1	1	1	1	1	1	5	31	2	9	2	15	0.125	16	15
sub-pp127	5	3	0.0	0.0	1	2	0	0	6	1	6	6	6	4	6	6	6	1	6	4	6	1	5	6	6	1	4	1	1	6	1	4	42	8	17	2	15	0.0	16	17
sub-pp128	5	4	0.0	0.0	1	0	0	0	6	6	6	6	6	6	5	4	6	5	4	5	6	4	4	6	6	4	5	4	4	5	4	5	40	10	41	0	20	0.0	17	14
sub-pp129	5	3	1.0	1.0	8	0	2	0	5	3	4	3	6	5	3	4	3	5	4	5	6	3	4	3	6	6	4	4	5	3	5	3	32	9	40	2	15	0.125	9	12
sub-pp133	5	2	0.0	0.0	1	0	0	0	5	1	5	4	5	1	4	1	5	1	4	1	5	1	4	3	5	1	1	1	1	4	1	3	33	2	9	0	10	0.0	10	13
sub-pp135	5	3	7.0	2.0	16	2	2	0	5	3	3	5	6	5	6	1	5	3	4	3	6	1	3	5	5	1	4	3	5	3	4	4	36	7	26	4	15	0.875	14	10
sub-pp137	5	3	2.0	2.0	16	0	0	0	5	1	4	6	6	4	4	5	6	1	3	2	6	1	4	6	6	1	1	1	1	5	1	2	38	3	16	0	15	0.25	14	11
sub-pp145	3	1	1.0	1.0	32	2	2	0	3	1	3	5	3	1	1	1	5	1	3	3	3	1	4	4	5	1	1	1	1	1	1	4	21	4	9	4	3	0.03125	13	10
sub-pp147	4	1	1.0	0.5	32	2	3	1	5	1	5	5	5	1	5	1	3	1	4	5	5	1	4	6	6	1	5	1	1	5	1	5	34	10	9	6	4	0.015625	16	13
sub-pp149	5	4	7.0	1.0	16	1	2	1	4	1	5	5	5	1	4	4	5	1	5	1	5	1	4	5	5	1	1	1	1	5	1	4	33	2	12	4	20	0.4375	14	14
sub-pp150	5	4	0.0	0.0	1	0	0	0	4	1	4	6	3	1	5	6	4	1	3	3	6	1	3	5	6	1	1	1	1	3	1	3	31	4	14	0	20	0.0	14	10
sub-pp151	5	3	0.0	0.0	1	0	0	0	6	1	6	6	5	1	5	1	6	1	6	5	6	1	6	4	6	1	4	1	1	5	1	5	39	9	9	0	15	0.0	15	18
sub-pp152	4	2	0.0	0.0	1	2	0	0	5	1	5	5	5	5	3	1	5	1	5	2	6	1	5	6	5	1	1	1	1	5	1	5	34	3	13	2	8	0.0	16	15
sub-pp155	5	2	3.0	1.0	16	2	0	1	6	1	3	6	6	1	1	1	1	4	3	1	6	1	1	6	6	4	1	1	6	6	3	6	32	2	22	3	10	0.1875	18	7
sub-pp156	5	2	0.0	0.0	1	0	0	0	5	1	5	5	5	1	5	4	5	4	4	5	5	1	3	5	5	1	4	1	1	4	1	1	34	9	15	0	10	0.0	11	12
sub-pp158	5	3	2.0	3.0	4	2	3	0	5	1	5	5	5	6	5	6	6	1	6	4	6	1	5	5	5	1	4	4	5	5	5	1	37	8	30	5	15	1.5	11	16
sub-pp159	5	4	5.0	0.5	16	1	2	0	5	1	4	6	5	1	6	1	6	1	2	2	6	1	2	6	6	1	1	1	1	6	2	6	40	3	10	3	20	0.15625	18	8
sub-pp160	5	2	1.0	0.5	16	2	2	0	5	1	6	5	5	1	4	4	5	1	4	1	5	1	1	4	5	1	1	1	1	4	1	4	33	2	12	4	10	0.03125	13	11
sub-pp161	5	3	0.0	0.0	1	0	0	0	4	1	1	1	2	1	1	1	5	1	1	4	5	1	1	5	5	1	1	1	1	3	1	5	25	5	9	0	15	0.0	11	3
sub-pp162	5	5	4.0	2.0	16	1	2	0	6	1	5	6	5	1	5	1	6	1	4	5	6	1	4	6	6	1	6	1	1	5	4	6	39	11	12	3	25	0.5	18	13
sub-pp163	1	1	0.0	0.0	1	1	0	0	4	1	5	6	5	1	3	1	4	1	6	5	6	1	4	6	6	1	5	1	1	4	1	2	32	10	9	1	1	0.0	14	15
sub-pp164	5	4	1.0	1.5	16	2	2	0	5	2	3	5	5	4	4	4	6	2	2	3	5	1	3	5	6	1	2	1	1	4	1	4	35	5	17	4	20	0.09375	14	8
sub-pp166	5	1	10.0	1.0	1	2	2	1	6	2	6	6	6	6	5	6	6	6	6	5	5	5	4	4	5	6	3	6	6	5	4	1	38	8	47	5	5	10.0	11	16
sub-pp168	5	3	2.0	0.0	32	0	3	0	2	1	2	6	4	1	2	3	2	1	4	4	6	1	2	5	5	1	5	1	1	4	1	1	25	9	11	3	15	0.0	12	8
sub-pp169	5	3	2.0	0.5	16	1	1	0	4	3	4	3	5	5	3	1	5	3	4	1	5	1	4	4	5	3	1	1	5	4	1	1	31	2	23	2	15	0.0625	8	12
sub-pp170	5	2	0.0	0.0	1	2	0	0	4	1	5	5	6	1	4	1	5	1	5	4	6	1	4	5	5	1	4	1	1	4	1	4	34	8	9	2	10	0.0	14	14
sub-pp171	5	3	8.0	1.0	16	2	2	0	6	1	2	2	6	6	5	5	6	1	2	5	6	1	1	1	6	1	3	1	1	5	1	1	40	8	18	4	15	0.5	4	5
